# Time-averaged data for fix rdf_final_eq
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0 0
38 2.25 0.343764 0.0703125
39 2.31 0.398614 0.15625
40 2.37 0.757376 0.328125
41 2.43 0.884174 0.539062
42 2.49 1.34109 0.875
43 2.55 1.24899 1.20312
44 2.61 2.01543 1.75781
45 2.67 1.73599 2.25781
46 2.73 2.12755 2.89844
47 2.79 2.1364 3.57031
48 2.85 2.23785 4.30469
49 2.91 2.28353 5.08594
50 2.97 2.10452 5.83594
51 3.03 2.46431 6.75
52 3.09 1.74171 7.42188
53 3.15 2.08525 8.25781
54 3.21 1.4075 8.84375
55 3.27 1.39249 9.44531
56 3.33 1.41252 10.0781
57 3.39 1.06008 10.5703
58 3.45 0.844818 10.9766
59 3.51 0.659224 11.3047
60 3.57 0.652425 11.6406
61 3.63 0.792464 12.0625
62 3.69 0.582278 12.3828
63 3.75 0.398781 12.6094
64 3.81 0.333035 12.8047
65 3.87 0.464816 13.0859
66 3.93 0.438211 13.3594
67 3.99 0.522304 13.6953
68 4.05 0.554101 14.0625
69 4.11 0.49225 14.3984
70 4.17 0.589393 14.8125
71 4.23 0.691673 15.3125
72 4.29 0.767026 15.8828
73 4.35 0.6336 16.3672
74 4.41 0.745738 16.9531
75 4.47 0.851667 17.6406
76 4.53 0.819833 18.3203
77 4.59 0.982112 19.1562
